Designator,Mid X,Mid Y,Rotation,Layer
SW1,38.1,-35.2425,0.0,top
SW10,95.25,-59.055,0.0,top
SW11,114.3,-63.8175,0.0,top
SW12,133.35,-73.3425,0.0,top
SW13,38.1,-73.3425,0.0,top
SW14,57.15,-78.105,0.0,top
SW15,76.2,-78.105,0.0,top
SW16,95.25,-78.105,0.0,top
SW17,114.3,-82.8675,0.0,top
SW18,133.35,-92.3925,0.0,top
SW19,95.25,-97.155,0.0,top
SW2,57.15,-40.005,0.0,top
SW20,114.3,-101.9175,0.0,top
SW21,133.35,-111.4425,0.0,top
SW3,76.2,-40.005,0.0,top
SW4,95.25,-40.005,0.0,top
SW5,114.3,-44.7675,0.0,top
SW6,133.35,-54.2925,0.0,top
SW7,38.1,-54.2925,0.0,top
SW8,57.15,-59.055,0.0,top
SW9,76.2,-59.055,0.0,top
