Designator,Mid X,Mid Y,Rotation,Layer
D1,38.1,-41.195625,0.0,bottom
D10,95.25,-65.008125,0.0,bottom
D11,114.3,-69.770625,0.0,bottom
D12,133.35,-79.295625,0.0,bottom
D13,38.1,-79.295625,0.0,bottom
D14,57.15,-84.058125,0.0,bottom
D15,76.2,-84.058125,0.0,bottom
D16,95.25,-84.058125,0.0,bottom
D17,114.3,-88.820625,0.0,bottom
D18,133.35,-98.345625,0.0,bottom
D19,95.25,-103.108125,0.0,bottom
D2,57.15,-45.958125,0.0,bottom
D20,114.3,-107.870625,0.0,bottom
D21,133.35,-117.395625,0.0,bottom
D22,171.45,-60.245625,0.0,bottom
D23,190.5,-50.720625,0.0,bottom
D24,209.55,-45.958125,0.0,bottom
D25,228.6,-45.958125,0.0,bottom
D26,247.65,-45.958125,0.0,bottom
D27,266.7,-41.195625,0.0,bottom
D28,171.45,-79.295625,0.0,bottom
D29,190.5,-69.770625,0.0,bottom
D3,76.2,-45.958125,0.0,bottom
D30,209.55,-65.008125,0.0,bottom
D31,228.6,-65.008125,0.0,bottom
D32,247.65,-65.008125,0.0,bottom
D33,266.7,-60.245625,0.0,bottom
D34,171.45,-98.345625,0.0,bottom
D35,190.5,-88.820625,0.0,bottom
D36,209.55,-84.058125,0.0,bottom
D37,228.6,-84.058125,0.0,bottom
D38,247.65,-84.058125,0.0,bottom
D39,266.7,-79.295625,0.0,bottom
D4,95.25,-45.958125,0.0,bottom
D40,171.45,-117.395625,0.0,bottom
D41,190.5,-107.870625,0.0,bottom
D42,209.55,-103.108125,0.0,bottom
D5,114.3,-50.720625,0.0,bottom
D6,133.35,-60.245625,0.0,bottom
D7,38.1,-60.245625,0.0,bottom
D8,57.15,-65.008125,0.0,bottom
D9,76.2,-65.008125,0.0,bottom
RSSW0,152.4,-80.48625,180.0,top
SW1,38.1,-35.2425,0.0,top
SW10,95.25,-59.055,0.0,top
SW11,114.3,-63.8175,0.0,top
SW12,133.35,-73.3425,0.0,top
SW13,38.1,-73.3425,0.0,top
SW14,57.15,-78.105,0.0,top
SW15,76.2,-78.105,0.0,top
SW16,95.25,-78.105,0.0,top
SW17,114.3,-82.8675,0.0,top
SW18,133.35,-92.3925,0.0,top
SW19,95.25,-97.155,0.0,top
SW2,57.15,-40.005,0.0,top
SW20,114.3,-101.9175,0.0,top
SW21,133.35,-111.4425,0.0,top
SW22,171.45,-54.2925,0.0,top
SW23,190.5,-44.7675,0.0,top
SW24,209.55,-40.005,0.0,top
SW25,228.6,-40.005,0.0,top
SW26,247.65,-40.005,0.0,top
SW27,266.7,-35.2425,0.0,top
SW28,171.45,-73.3425,0.0,top
SW29,190.5,-63.8175,0.0,top
SW3,76.2,-40.005,0.0,top
SW30,209.55,-59.055,0.0,top
SW31,228.6,-59.055,0.0,top
SW32,247.65,-59.055,0.0,top
SW33,266.7,-54.2925,0.0,top
SW34,171.45,-92.3925,0.0,top
SW35,190.5,-82.8675,0.0,top
SW36,209.55,-78.105,0.0,top
SW37,228.44125,-78.105,0.0,top
SW38,247.65,-78.105,0.0,top
SW39,266.7,-73.3425,0.0,top
SW4,95.25,-40.005,0.0,top
SW40,171.45,-111.4425,0.0,top
SW41,190.5,-101.9175,0.0,top
SW42,209.55,-97.155,0.0,top
SW5,114.3,-44.7675,0.0,top
SW6,133.35,-54.2925,0.0,top
SW7,38.1,-54.2925,0.0,top
SW8,57.15,-59.055,0.0,top
SW9,76.2,-59.055,0.0,top
U1,152.4086,-63.058,0.0,top
